session_id,customer_id,session_date,page_views,session_duration_minutes,device_type
1,2962,2024-11-11 09:27:36,1,55,Mobile
2,311,2024-09-13 08:02:57,2,20,Mobile
3,186,2024-03-10 19:59:48,3,35,Mobile
4,2088,2024-12-11 17:13:28,1,36,Mobile
5,1665,2024-12-03 12:36:10,8,43,Mobile
6,1670,2024-04-18 00:57:18,5,35,Mobile
7,2777,2024-08-21 06:36:13,3,1,Desktop
8,2070,2024-10-29 09:32:44,12,20,Mobile
9,826,2023-12-09 12:55:03,1,24,Desktop
10,119,2023-06-12 02:04:26,5,44,Mobile
11,744,2024-03-28 08:39:19,1,30,Mobile
12,432,2023-10-30 04:02:03,1,29,Mobile
13,2346,2024-11-27 05:52:32,3,3,Mobile
14,1599,2024-04-15 00:04:30,2,51,Mobile
15,866,2024-05-18 15:52:29,2,50,Mobile
16,1747,2024-12-13 05:26:57,5,3,Tablet
17,2395,2023-12-18 19:42:24,1,43,Mobile
18,2353,2024-11-29 15:22:09,2,53,Mobile
19,178,2024-06-27 03:57:49,20,35,Mobile
20,877,2024-08-25 11:33:23,2,6,Mobile
21,1178,2024-07-11 19:59:01,8,35,Desktop
22,808,2023-12-24 03:44:27,1,53,Mobile
23,218,2024-07-18 15:16:53,3,43,Mobile
24,968,2024-08-05 07:24:48,5,30,Mobile
25,890,2024-09-22 03:16:38,3,10,Mobile
26,1385,2024-07-28 15:46:36,8,26,Mobile
27,849,2024-10-12 22:17:21,12,41,Mobile
28,1092,2023-07-27 23:10:30,12,2,Mobile
29,2906,2024-11-01 01:38:33,3,22,Tablet
30,721,2024-06-25 10:45:49,2,28,Desktop
31,1202,2024-05-25 21:37:25,20,56,Mobile
32,1973,2024-07-23 16:53:56,8,34,Desktop
33,729,2024-12-07 16:32:06,8,17,Mobile
34,2386,2024-12-13 16:35:43,3,10,Desktop
35,1391,2024-05-01 17:14:41,8,20,Mobile
36,1111,2024-03-22 14:01:44,3,19,Desktop
37,2709,2024-05-13 03:44:20,8,49,Mobile
38,108,2024-05-13 17:29:10,3,2,Desktop
