response_id,campaign_id,customer_id,response_date,action_taken
1,1,1590,2024-05-30 18:05:49,Clicked
2,1,1407,2024-05-18 21:12:53,Ignored
3,1,2091,2024-06-23 00:24:03,Opened
4,1,17,2024-06-25 11:18:11,Opened
5,1,2034,2024-06-20 13:43:35,Purchased
6,1,2899,2024-06-18 05:37:34,Clicked
7,1,838,2024-06-07 09:57:24,Opened
8,1,468,2024-06-19 12:59:22,Opened
9,1,1314,2024-06-08 02:50:59,Opened
10,1,2747,2024-07-02 18:40:57,Ignored
11,1,327,2024-05-21 03:49:46,Opened
12,1,1879,2024-06-08 01:36:42,Clicked
13,1,1884,2024-05-28 01:33:14,Opened
14,1,1365,2024-06-04 13:34:20,Opened
15,1,1236,2024-05-27 10:11:06,Ignored
16,1,2755,2024-06-12 12:00:53,Ignored
17,1,2500,2024-07-04 16:15:08,Opened
18,1,1567,2024-05-19 11:58:29,Ignored
19,1,2529,2024-05-31 17:35:00,Clicked
20,1,968,2024-06-07 16:22:31,Ignored
21,1,1028,2024-05-30 01:20:04,Purchased
22,1,1357,2024-06-17 08:16:44,Clicked
23,1,2280,2024-05-16 05:22:19,Clicked
24,1,2807,2024-06-06 01:35:51,Opened
25,1,2610,2024-06-16 16:32:11,Purchased
26,1,2630,2024-06-13 13:03:16,Opened
27,1,482,2024-06-13 00:44:32,Ignored
28,1,2674,2024-06-25 03:10:42,Opened
29,1,2167,2024-06-27 21:39:03,Ignored
30,1,960,2024-05-21 14:40:57,Opened
31,1,2833,2024-06-06 06:46:39,Opened
32,1,130,2024-06-09 10:11:26,Ignored
33,1,375,2024-06-20 21:58:50,Ignored
34,1,2360,2024-05-23 17:50:42,Ignored
35,1,2473,2024-06-30 19:17:35,Purchased
36,1,1742,2024-05-30 08:15:43,Clicked
37,1,31,2024-06-20 09:27:07,Opened
38,1,1396,2024-05-20 15:46:12,Clicked
39,1,2430,2024-05-24 19:02:29,Ignored
40,1,1767,2024-06-20 15:08:53,Clicked
41,1,412,2024-05-16 22:34:07,Opened
42,1,2915,2024-06-25 21:11:18,Opened
43,1,2341,2024-06-15 15:54:46,Opened
44,1,450,2024-06-13 07:43:40,Opened
45,1,385,2024-05-17 03:29:41,Ignored
46,1,2922,2024-05-16 12:50:04,Opened
47,1,2651,2024-07-01 03:17:36,Purchased
48,1,1039,2024-06-12 18:59:35,Clicked
49,1,732,2024-06-23 21:12:27,Opened
50,1,2664,2024-06-16 17:57:39,Purchased
51,1,2229,2024-06-21 00:30:05,Clicked
52,1,1727,2024-05-28 10:04:51,Opened
53,1,652,2024-05-25 13:26:57,Purchased
54,1,1139,2024-06-26 09:38:56,Purchased
55,1,1323,2024-06-20 02:39:16,Opened
56,1,1297,2024-06-01 20:15:23,Purchased
57,1,1162,2024-05-30 05:40:59,Opened
58,1,409,2024-06-04 19:53:17,Purchased
59,1,1346,2024-06-17 10:33:45,Opened
60,1,2970,2024-05-18 15:51:24,Opened
61,1,2453,2024-06-22 04:53:22,Ignored
62,1,393,2024-06-19 06:50:11,Purchased
63,1,2180,2024-06-08 14:57:48,Opened
64,1,482,2024-05-31 18:22:10,Clicked
65,1,2091,2024-06-26 12:05:55,Ignored
66,1,710,2024-05-24 22:27:44,Purchased
67,1,520,2024-05-30 14:33:04,Opened
68,1,1676,2024-05-27 08:07:16,Opened
69,1,208,2024-06-09 17:10:49,Purchased
70,1,355,2024-06-15 19:59:58,Ignored
71,1,1606,2024-07-03 23:05:45,Opened
72,1,2633,2024-07-03 02:39:19,Opened
73,1,2639,2024-06-21 10:10:06,Clicked
74,1,2343,2024-06-20 22:11:23,Ignored
75,1,469,2024-05-17 00:14:57,Ignored
76,1,2222,2024-06-27 04:05:21,Purchased
77,1,2680,2024-05-15 10:04:46,Clicked
78,1,1554,2024-06-09 14:08:15,Ignored
79,1,2861,2024-06-01 05:56:19,Clicked
80,1,2231,2024-06-23 10:56:01,Opened
81,1,624,2024-05-27 15:12:56,Opened
82,1,1309,2024-05-29 20:32:35,Purchased
83,1,2171,2024-06-17 13:34:03,Clicked
84,1,1405,2024-06-12 13:19:39,Opened
85,1,2781,2024-05-20 03:37:12,Opened
86,1,213,2024-05-23 01:25:53,Ignored
87,1,644,2024-05-20 01:53:19,Ignored
88,1,2532,2024-06-12 13:37:47,Clicked
89,1,2770,2024-05-27 07:17:56,Purchased
90,2,2063,2023-06-26 08:51:19,Clicked
91,2,459,2023-07-29 20:15:01,Opened
92,2,2128,2023-07-25 14:21:50,Opened
93,2,2084,2023-07-15 15:00:59,Clicked
94,2,2402,2023-07-24 19:41:44,Opened
95,2,1266,2023-06-22 18:24:56,Opened
96,2,1853,2023-07-30 07:46:57,Opened
97,2,2681,2023-06-29 20:53:34,Clicked
98,2,1844,2023-07-26 09:20:03,Opened
99,2,1929,2023-07-16 15:16:22,Clicked
100,2,1496,2023-07-30 09:56:09,Purchased
101,2,2129,2023-08-06 00:44:41,Clicked
102,2,1241,2023-06-28 03:31:53,Clicked
103,2,1378,2023-07-19 16:07:22,Clicked
104,2,1617,2023-07-25 21:41:56,Opened
105,2,2793,2023-07-17 06:17:39,Opened
106,2,2084,2023-08-01 10:41:44,Purchased
107,2,487,2023-07-21 04:12:20,Opened
108,2,1963,2023-07-21 20:16:05,Ignored
109,2,1356,2023-06-23 15:07:35,Clicked
110,2,2444,2023-08-06 13:41:28,Purchased
111,2,1742,2023-07-23 11:28:54,Opened
112,2,1567,2023-06-23 11:46:03,Clicked
113,2,613,2023-07-24 01:57:24,Ignored
114,2,457,2023-07-30 16:46:30,Opened
115,2,2838,2023-07-20 12:51:43,Ignored
116,2,513,2023-06-24 05:38:03,Ignored
117,2,238,2023-07-05 06:16:45,Opened
118,2,1520,2023-06-22 15:53:32,Clicked
119,2,1940,2023-08-06 22:15:23,Ignored
120,2,2124,2023-07-23 15:57:56,Opened
121,2,1156,2023-07-01 09:05:04,Opened
122,2,1297,2023-08-07 21:40:40,Clicked
123,2,1965,2023-08-03 05:55:42,Opened
124,2,1573,2023-07-30 07:31:55,Opened
125,2,2292,2023-07-02 10:46:36,Clicked
126,2,2172,2023-07-09 09:10:50,Clicked
127,2,575,2023-07-24 20:38:19,Clicked
128,2,344,2023-07-15 03:17:07,Opened
129,2,182,2023-08-01 10:56:01,Ignored
130,2,1928,2023-06-25 04:52:58,Clicked
131,2,1242,2023-07-15 16:54:46,Opened
132,2,457,2023-07-05 07:39:59,Opened
133,2,1977,2023-08-01 02:42:19,Clicked
134,2,2608,2023-07-20 07:08:10,Ignored
135,2,1251,2023-06-28 17:47:31,Opened
136,2,2853,2023-07-11 04:34:12,Opened
137,2,1416,2023-07-02 07:51:12,Purchased
138,2,729,2023-07-04 16:35:59,Ignored
139,2,2086,2023-07-28 16:57:21,Purchased
140,2,606,2023-06-21 08:14:36,Clicked
141,2,1042,2023-07-04 17:19:22,Opened
142,2,2835,2023-07-24 06:10:46,Opened
143,2,2552,2023-06-22 09:25:08,Clicked
144,2,2111,2023-07-11 22:45:39,Purchased
145,2,62,2023-07-18 15:29:51,Clicked
146,2,2104,2023-07-21 00:33:54,Ignored
147,2,535,2023-08-07 14:10:27,Purchased
148,2,2548,2023-08-06 20:07:08,Clicked
149,2,1871,2023-06-30 12:50:56,Opened
150,2,1036,2023-08-08 05:03:32,Purchased
151,2,1192,2023-07-31 05:13:00,Opened
152,2,2323,2023-08-08 10:00:19,Opened
153,2,2950,2023-07-04 17:46:46,Clicked
154,2,228,2023-07-07 19:37:48,Ignored
155,2,2805,2023-07-15 20:13:49,Opened
156,2,1208,2023-08-02 10:37:29,Clicked
157,2,1290,2023-08-02 23:12:14,Opened
158,2,652,2023-07-30 12:55:55,Clicked
159,2,889,2023-08-04 02:10:46,Opened
160,2,1704,2023-06-25 02:42:50,Purchased
161,2,1011,2023-06-27 04:01:44,Ignored
162,2,2253,2023-06-21 18:04:29,Opened
163,2,2086,2023-06-25 11:49:04,Purchased
164,2,304,2023-07-17 08:10:43,Opened
165,2,1768,2023-07-06 17:32:09,Ignored
166,2,2411,2023-07-17 19:23:27,Clicked
167,2,663,2023-07-31 16:51:10,Clicked
168,2,1987,2023-07-31 04:04:39,Opened
169,2,333,2023-07-20 10:18:52,Ignored
170,2,2343,2023-08-01 11:20:12,Purchased
171,2,2167,2023-06-28 10:15:19,Clicked
172,2,2959,2023-07-24 12:22:51,Opened
173,2,393,2023-07-08 20:40:17,Opened
174,2,1409,2023-07-04 16:53:29,Opened
175,2,1789,2023-07-26 01:58:26,Clicked
176,2,575,2023-07-10 12:29:29,Purchased
177,2,1509,2023-07-08 00:42:13,Purchased
178,2,1349,2023-07-14 01:08:41,Ignored
179,2,885,2023-07-26 09:38:35,Clicked
180,2,1200,2023-07-06 02:32:16,Opened
181,2,1765,2023-08-06 11:25:44,Purchased
182,2,1417,2023-06-21 15:55:22,Clicked
183,2,2805,2023-07-22 03:11:29,Clicked
184,2,1929,2023-06-30 08:55:15,Opened
185,2,861,2023-07-07 07:36:47,Clicked
186,2,2438,2023-08-10 21:36:04,Clicked
187,2,2976,2023-07-23 16:31:59,Purchased
188,2,2280,2023-07-31 08:26:54,Clicked
189,2,1950,2023-06-22 22:53:59,Ignored
190,2,2257,2023-07-01 14:17:00,Clicked
191,2,2440,2023-07-14 19:48:17,Opened
192,2,2955,2023-07-12 11:22:06,Clicked
193,2,636,2023-07-15 03:41:04,Ignored
194,2,1144,2023-07-30 20:47:16,Opened
195,2,1581,2023-06-25 01:44:57,Purchased
196,2,291,2023-07-15 13:57:01,Opened
197,2,1694,2023-07-10 13:46:05,Ignored
198,2,188,2023-08-10 15:47:49,Opened
199,2,946,2023-07-06 17:49:12,Clicked
200,2,2651,2023-08-08 18:15:21,Clicked
201,2,281,2023-07-06 09:59:01,Ignored
202,2,1448,2023-07-10 23:12:36,Purchased
203,2,686,2023-07-09 23:43:57,Ignored
204,2,68,2023-08-02 14:37:35,Clicked
205,2,2846,2023-07-13 04:46:59,Clicked
206,2,2576,2023-07-13 13:57:32,Ignored
207,2,1210,2023-07-11 15:02:27,Opened
208,2,449,2023-07-28 20:59:41,Purchased
209,2,2239,2023-06-25 07:37:09,Opened
210,2,1016,2023-07-09 03:29:21,Opened
211,2,1412,2023-07-07 06:15:36,Clicked
212,2,2261,2023-07-26 13:31:04,Opened
213,2,460,2023-07-27 15:48:31,Clicked
214,2,203,2023-07-11 21:07:00,Clicked
215,2,1013,2023-07-04 05:32:57,Clicked
216,2,1330,2023-07-07 08:19:30,Ignored
217,2,1641,2023-06-30 23:09:40,Opened
218,2,320,2023-06-24 05:23:43,Clicked
219,2,2357,2023-06-22 09:06:02,Ignored
220,2,2601,2023-06-28 02:34:23,Opened
221,2,2589,2023-08-08 03:20:40,Clicked
222,2,2710,2023-08-05 19:55:25,Opened
223,2,1865,2023-08-08 13:07:37,Opened
224,2,1089,2023-07-10 02:50:01,Clicked
225,2,2039,2023-07-27 14:16:00,Ignored
226,2,2164,2023-08-01 21:36:14,Clicked
227,2,1200,2023-07-29 20:46:55,Clicked
228,2,1156,2023-07-04 01:55:02,Clicked
229,2,1190,2023-07-03 00:24:18,Opened
230,2,944,2023-07-25 09:36:52,Opened
231,2,1542,2023-06-27 20:16:39,Ignored
232,2,1334,2023-07-19 19:49:18,Clicked
233,2,2165,2023-07-19 11:36:32,Opened
234,2,832,2023-08-03 11:19:18,Opened
235,2,2742,2023-07-09 17:40:00,Ignored
236,2,1666,2023-08-02 10:33:21,Ignored
237,2,1910,2023-08-04 22:17:28,Clicked
238,2,96,2023-07-18 14:18:17,Clicked
239,2,2507,2023-07-23 15:42:13,Ignored
240,2,1458,2023-06-30 10:25:46,Opened
241,2,277,2023-08-09 12:12:18,Clicked
242,2,1079,2023-08-08 17:31:21,Purchased
243,2,715,2023-06-28 02:04:35,Opened
244,2,1073,2023-08-06 23:00:12,Ignored
245,2,2586,2023-07-25 09:28:27,Opened
246,2,974,2023-06-25 08:29:41,Opened
247,2,1039,2023-07-16 00:05:58,Opened
248,2,174,2023-08-06 08:51:08,Opened
249,2,1679,2023-07-31 01:56:21,Purchased
250,2,873,2023-08-08 11:25:08,Opened
251,2,1166,2023-06-28 19:26:15,Ignored
252,2,1884,2023-07-16 01:07:50,Clicked
253,2,1904,2023-07-20 08:35:21,Opened
254,2,1119,2023-07-01 12:35:58,Ignored
255,2,1037,2023-07-31 04:11:16,Ignored
256,2,2428,2023-07-26 13:12:25,Clicked
257,2,2158,2023-07-05 12:32:50,Clicked
258,2,2498,2023-07-30 01:17:06,Clicked
259,2,1200,2023-07-24 04:51:33,Clicked
260,2,1939,2023-06-21 22:06:27,Clicked
261,2,395,2023-08-01 01:59:03,Clicked
262,2,840,2023-07-06 00:43:44,Opened
263,2,1667,2023-08-05 14:56:45,Opened
264,2,494,2023-07-05 19:56:08,Opened
265,2,1592,2023-06-27 03:42:07,Ignored
266,2,1775,2023-06-21 11:25:12,Clicked
267,2,2253,2023-07-16 18:44:06,Clicked
268,2,2016,2023-07-14 09:16:46,Opened
269,2,2430,2023-07-04 15:52:16,Ignored
270,2,2858,2023-07-13 22:34:02,Purchased
271,2,1254,2023-07-01 10:07:06,Opened
272,2,86,2023-07-27 22:16:41,Opened
273,2,2326,2023-07-20 05:08:21,Opened
274,2,1038,2023-07-16 07:38:34,Opened
275,2,1555,2023-06-29 03:23:08,Ignored
276,2,2677,2023-07-08 17:05:47,Ignored
277,2,1434,2023-08-06 23:42:03,Clicked
278,2,1336,2023-06-21 14:05:16,Opened
279,2,906,2023-07-08 04:46:53,Purchased
280,2,2621,2023-08-06 04:03:49,Clicked
281,2,2125,2023-06-23 07:48:49,Purchased
282,2,2425,2023-08-05 14:06:13,Opened
283,2,762,2023-06-21 19:13:32,Opened
284,2,2098,2023-07-10 11:40:09,Purchased
285,2,856,2023-07-28 17:15:44,Opened
286,2,1847,2023-07-22 17:51:42,Opened
287,2,1791,2023-08-06 14:47:38,Clicked
288,2,29,2023-07-20 22:18:02,Purchased
289,2,2427,2023-08-09 08:41:49,Opened
290,2,222,2023-07-16 22:16:27,Opened
291,2,1690,2023-07-12 07:57:06,Clicked
292,2,231,2023-07-13 12:45:29,Ignored
293,2,2436,2023-07-04 09:19:03,Ignored
294,2,54,2023-07-27 11:27:33,Clicked
295,2,1426,2023-08-05 11:30:43,Opened
296,2,2819,2023-08-07 05:31:55,Ignored
297,2,623,2023-07-23 21:41:51,Clicked
298,2,2552,2023-06-30 18:55:28,Purchased
299,2,812,2023-06-26 14:45:23,Ignored
300,2,76,2023-07-31 01:39:16,Clicked
301,2,1657,2023-07-23 18:35:43,Opened
302,2,1800,2023-06-30 12:41:10,Ignored
303,2,1300,2023-08-05 00:24:09,Opened
304,2,2389,2023-07-19 09:36:26,Opened
305,2,848,2023-08-01 14:58:58,Clicked
306,2,1855,2023-06-24 15:21:21,Opened
307,2,1771,2023-06-21 05:55:21,Opened
308,2,1071,2023-07-16 01:40:31,Purchased
309,2,670,2023-07-08 00:04:00,Ignored
310,2,1553,2023-06-23 22:25:18,Ignored
311,2,684,2023-07-13 22:48:25,Ignored
312,2,679,2023-07-07 15:17:48,Opened
313,2,1551,2023-07-09 23:57:43,Ignored
314,2,2080,2023-06-23 14:57:04,Opened
315,2,368,2023-08-03 05:12:06,Clicked
316,2,2485,2023-07-10 03:46:42,Ignored
317,2,2257,2023-07-05 07:18:06,Opened
318,2,996,2023-08-05 13:16:32,Opened
319,2,1151,2023-07-21 11:17:48,Clicked
320,2,2704,2023-07-30 16:16:16,Ignored
321,2,2100,2023-07-04 17:17:13,Clicked
322,2,1340,2023-07-13 02:35:14,Opened
323,2,2453,2023-07-30 21:48:55,Opened
324,2,2273,2023-08-07 07:22:54,Purchased
325,2,2779,2023-06-29 23:42:56,Opened
326,2,245,2023-07-08 11:37:08,Ignored
327,2,2280,2023-07-28 17:57:30,Opened
