product_id,product_name,category,subcategory,price,cost,brand,stock_quantity,created_date
1,Ameliorated upward-trending contingency Laptops,Electronics,Laptops,1095.23,694.23,"Jacobs, Carr and Morgan",56,2022-11-11
2,Enterprise-wide 5thgeneration functionalities Accessories,Electronics,Accessories,301.97,169.69,Clark Group,486,2022-01-11
3,User-friendly fault-tolerant Local Area Network Smartphones,Electronics,Smartphones,1571.85,785.9,"Wu, Knapp and Evans",180,2022-10-11
4,Fundamental intermediate hub Smartphones,Electronics,Smartphones,1061.37,539.84,Brock-Krause,101,2022-03-22
5,Adaptive leadingedge standardization Audio,Electronics,Audio,1726.46,809.37,"Henderson, Castillo and Davis",410,2022-03-24
6,Cloned tangible algorithm Accessories,Electronics,Accessories,856.12,484.47,Henry Inc,127,2022-01-07
7,Cross-group interactive definition Smartphones,Electronics,Smartphones,1522.49,849.5,"Simmons, Ewing and Wood",256,2022-07-23
8,Reverse-engineered background definition Smartphones,Electronics,Smartphones,356.04,174.62,"Roth, Davidson and Riggs",117,2022-11-20
9,Devolved global Internet solution Smartphones,Electronics,Smartphones,581.29,254.08,Harmon Ltd,401,2022-07-13
10,Streamlined leadingedge Graphic Interface Audio,Electronics,Audio,305.83,190.27,"Herrera, Johnson and Donaldson",138,2022-02-13
11,Switchable explicit standardization Smartphones,Electronics,Smartphones,1033.79,631.69,"Grant, Blair and Vega",375,2022-08-01
12,Triple-buffered content-based circuit Smartphones,Electronics,Smartphones,1498.17,842.73,Delgado Group,470,2022-03-19
13,Automated zero administration pricing structure Audio,Electronics,Audio,428.85,249.47,Underwood-Schmidt,159,2022-06-15
14,Front-line bi-directional firmware Smartphones,Electronics,Smartphones,639.2,343.68,Roberts LLC,51,2022-05-16
15,Distributed mobile customer loyalty Audio,Electronics,Audio,784.33,414.8,"Smith, Graham and Carr",113,2022-07-28
16,Face-to-face grid-enabled help-desk Accessories,Electronics,Accessories,992.53,667.28,Hendricks-Taylor,273,2022-09-17
17,De-engineered reciprocal budgetary management Audio,Electronics,Audio,83.56,45.88,Anderson-Jackson,201,2022-07-10
